,Unnamed: 0.1,Unnamed: 0,comment
77,77,77,ya itu lebih baik mundur gus mifah karena menjagah nama baik kabinet pak prabowo dengan satria mengakui kesalahan dan kekilafkan dan mundur dari kabinet bisa buat pembelajaran pejabat lain dan mundurnya gus mifa karena cinta dan tanggung jawabnya pada presiden dan bukan tekanan dari manapun ini sebage tanggung jawab apa yg diya lakukan bahwa jabatan ini sementara  untu bisa buat contoh lainnya
78,78,78,bagus sbelum ku pcat tttt ha ha
79,79,79,sehat n sukses
80,80,80,aku kok melok mewek gustp gus itu keputusan tepat dan sangat tepat 
81,81,81,ya lah bro tau dirianda bodoh ora ono toto kromo adat sopan santun
82,82,82,ga ada yg maksa mundur istikharah lahhh viral di medsos netijen udeh julid apa bujan krn itu coba kalau ga viral ga nyadar khan
83,83,83,gus2
84,84,84,baguslah kalau sadar diri
85,85,85,pastinya sudah di suruh mengundurkan dirisoalnya lawan penguasa sama rakyat klw melawan habis lah dia sama penguasanya jika orang ini masih bercokol di penguasa
86,86,86,sekarang anda menangis karena apa
87,87,87,bagus sikap jentel yang repot udah salah nga mau minta maaf itu kurang ajar sok benar dan pinter sebdri
88,88,88,ngapain nangis waktu menghina gagah x
89,89,89,harusnya fufufafa di gusmiftahkan
90,90,90,harapan masyarakat rakyat kecil indonesia semua penjabat jentelman seperti pak miftah
91,91,91,inilah cara allah memalukannya di depan umat itu yg ketawa saat miftah bicara ketawa ngakak orng nggak punya hati gimana bapak itu di malukan didpn orng banyakgimana kalau kamu diketawain orng banyak pulamalu juga kan
92,92,92,makanya jangan suka mehina gak pantas jadi dakwa ngajarkan yag gak baik
93,93,93,memang harus keluar sombong ustad apa itu buat malu siapa pun yg masukan ke kabinet prabowo banyak ustad santun di indonesia ini
94,94,94,dari pada dipecat kn lebih baik mengundurkan diriklo dipecat kn malu
95,95,95,contoh yg baik pada masrakat dan khusus pada pejabat semuatop gus
96,96,96,baguslah supaya dia lebih hati lagi klw berbicara coba klw ceramah diperhalus gaya bicara dan bahasanya jangan asal ceplosjangan diaca saja tapi diterapkan pada diri pribadi contoh itu tdk selalu harus berbicaratp berperilakulah yg lebih baik lagikami para orang tua memaafkantp mbok yao perbaikilah gaya bicara dan bahasa dlm berdakwah jangan terlalu ngasal bunyi semoga ini menjadi pelajaran bagi anda terimakasih 
97,97,97,sikap yang meerusak citra agama
98,98,98,semua dah kehendak ny pembelajaran hidup luar biasa 
99,99,99,menyusul fufufafa
100,100,100,q pikir mundur dari penceramah juga 
101,101,101,satu satu penjilat jatuh
102,102,102,gk pantes jadi setaf peresiden
103,103,103,jebleh
104,104,104,makanya pandawah jangan terjun ke dalm politik urus aja umat
105,105,105,mewek
106,106,106,maju terus gusjabatan nggak penting gussemoga gus miftah di beri panjang umur dan kesehatan
107,107,107,mundur  si mistah  cepat mengundurkan  diri lebih bagus 
108,108,108,kalau noleh bpk presiden  yg cocok menjabat pengganti  miftan ustad  hadi hidayat
109,109,109,ngarang 
110,110,110,ga usah nagis gus mulutmu harimaumu
111,111,111,drpd di pecat lebih malu lebih baik mengundurkan dirimenghina seseorang kayak dirinya udh bagus aja mikirketawa berbahak2 merendahkan seseorang pengajian atau mau mencaci orang
112,112,112,kami sgt yakin  itu jalan yg paling terbaik demi ketenangan jiwa masyarakat umumnya  dan jgn ada lgi org yg berlaku sombong dan angkuh di era saat ini  trimakasih bapak presiden
113,113,113,sedih ya
114,114,114,berat mninggal kan jabatan karena ahlaknya yg g bener
115,115,115,alhamdulillah
116,116,116,banyak pendakwah yang menolak menjadi apapun di stap negarawandi kampung saya ada bekas preman jadi ustadz e jadi pembunuh keluarga pondok pesantren jadi keluarga pembunuh
117,117,117,gitu sadar diridan gak usah ceramah ceramah percuma intropeksi aja sendiri dirumah terus ngaji diri di rumah sama rambut itu mbok dipotong gilani
118,118,118,baru 1 blan setegah bagi mna klo 5 thnkiamat lah islam di indonesia
119,119,119,buat kiyai yg laenya jngan sombongingat itu bukan pakaian mu
120,120,120,semua irang yg ada di samping kanan kiri muitu semuanya telah menyakiti orang oedagangjangan cengeng sok nangis segalacintoh yg buruk 
121,121,121,menyesal nya sunggu2 kah sbg pendakwa hrs sll menjaga
122,122,122,makanya jadi orang jngan sonbong allah saja tidak sombong saya jug  orang pedagang kau telah menyakiti hati irang bnyak miftahsiapa ygpercaya sama kamu lagi
123,123,123,malu ya dah hina orang kecil mundur
124,124,124,itulah kalau orang sopinter sobener kalau ngomong semau gue tida merasakan hati orang begitulah ahir cerita orang sombong
125,125,125,bukan mundur tapi mmng akan dipecatdicopot smg mendpt yg lebih baik lagi untuk negarakalau gibran kapan mundurnyasblm rakyat malu  dg wapres
126,126,126,benar juga kata pak presiden pak prabowo harus dipecat karena menghina rakyat kecil sy setuju mantap pak presiden itu baru tegas namanya presiden yg adil bagi rakyat kecil
127,127,127,jos tenan gus miftahgoblon ne wongdapat ratusan juta
128,128,128,sdhbtrllu vanyak ksalahnmu bung sdh waktunya bertaubat inilah jln awal taubatmu
129,129,129,meweeekkkkk hee heee heeedi guyu sugik nurr
130,130,130,sekarang baru mewekkemarinnya terbahak bahak 
131,131,131,lah gitu fokus dakwah saja yg baik
132,132,132,kue ngabdi negoro opo mif2
133,133,133,yaaa orang sudah banyak yang komentar anda baru buat keputusan munafik luu
134,134,134,tp kesatria tdk pernah nangis d muka umumn tdk mengumpat
135,135,135,sy lebih geram sama yg tertawa lepas disampingnya gus miftah
136,136,136,nangisx d ulang2i aq lg bayangin penjual es teh saat d goblokin dy d dpn umum ngs gak ya
137,137,137,bngsat ini di pecat cumn setingan aja di bikin mundur
138,138,138,utusan presiden sbg staf kerukunan beragamaya ampunlagakx suombong gtkyk gak ada yg laen ajaitu uah n uas kok gak di pilih 
139,139,139,cengen kemarin ngakak minta ampun bagusla mundurkan diri dripda di gaji oleh negara untuk mengoblokan orang
140,140,140,misuh emetuwek e d hilangi mas
141,141,141,gk usah maen dalil lg dah mif lidah lu udah basah dengan cacian
142,142,142,habib rizieq yg pantas gantiin lu mif
143,143,143,mundur karna tanggung jawab sama presidenkarna viral nitizen byk yg minta dia mundur masih aja mulut mu gus 
144,144,144,makan tu mkanya mulut itu di jagajangan asal ngomonghidup jangan somkan tu
145,145,145,maka nya jgn songong ente miftah
146,146,146,makanya jadi org jangan so
147,147,147,bagus klu sadar kau
148,148,148,entot kebo mendingan miptah itu
149,149,149,ustad penghina biardi bilang ustad kocak
150,150,150,alhamdulillah
151,151,151,kalau sebagian sudah tau ilmu islam dan hukum nya makanya perdalamlah ilmu aturan nya
152,152,152,kesatria nangis itu artinya menyesal jabatan hilang makanya lo jangan songongkasatria nangis 
153,153,153,org seperti lo tak pantas kontribusi buat negara
154,154,154,byk gaya lo kau di suruh mundur bukan kemauan lopendakwa tdk punya ahlak kau
155,155,155,gakpenting beritanyagus miftah   bukan siapa2 tapi hebat juga yaaa baru sekali istikhoroh  sudah dapat petunjuk 
156,156,156,alhamdulillah dia sadar diri
157,157,157,syukur alhamdulillah indonesia selamat dari manusia berakhlak berakhlak jongos baalawi semoga bangsa indonesia sadar dan tinggal kan penceramah yang tidak ada manfaat nya 
158,158,158,orang yg d hinad balea dgn semyum legowoitu yg ceramah y sediri itu dr orang apalagibam sang pencipta y
159,159,159,ini baru pendekar maju keton dadae mundur keton gegere
160,160,160,alhamdulillah ya allah
161,161,161,berhentilah jadi ulama
162,162,162,tak usahlah menangis engkaulah orang sombong
163,163,163,kalau punya mulut di  jaga yg baik
164,164,164,semoga apa yg terjadi bisa membuat gus miftah menjadi lebih baik ke depanbetapa pentingnya menjaga lidah
165,165,165,sukurilah mewek
166,166,166,musti di hargai sikap gus miftah mundur dari kabinet dan bapa penjual es teh menuai simpati dari warga dan banyak mendapatkan bantuan keuangan kita ambil hikmahnya z 
167,167,167,kalimah yg jelek aja bisa mendatangkan riqi apalagi kalimah yg baik
168,168,168,itu air mata buaya miftah yang akal sehatnya untuk menghina orang miskin ternyata tidak sesuai drngan ilmu yang dia dapat dan ilmunya hanya untuk mencari sensasi dan mencari muka terlalu banyak omon omon itulah akibatnya kalau ilmu untuk kesombongan akhirnya engkau direndahkan oleh allah swt
169,169,169,ya harusnya begitujantan mengakui kesalahannyajgn cuma minta maap sajahati2 kedepannyadalam bicara dn dawahklw mau berdawahrubahlah ciri has berdawahnya model begitu karena ciri khas dawahnya jelekcarilah ciri has yg baik yg benar2 bisa membuat umat nyaman dn bukan membuat gaduhinsa alloh kedepannya lebih baik lagi amiin
170,170,170,contoh ulama atau dai seperti zainudin mzalmarhum  kalo mifta mah gk jelas
171,171,171,yang sabar gus miftahmungkin nie skenario allah tuk lebih hati2 berbica age dan lewat candaan guz miftah si bapak jadi banyak rejeki dan banyak yang bantu aku ndc pernah hujat aguz miftah meskipun banyak yang menghujat di balik kejadian nie semoga ada hikmah nya aamiin
172,172,172,sama pak presiden di suruh mengundurkan diri klo gak mau baru d pecat
173,173,173,mantap gus sampean gentelman kutulusan dan kesadaran tingkat dewa allah dgn kuasanya telah mengangkat derajat bpk penjual es tapi dgn ketulusan dan kesadaran mengakui dan meminta maaf atas kekhilafan sampean juga mulia disisinya insyaallah
174,174,174,lu membahayakan generasi penerus bangsa karena status anda agamis dan mencotohkan perilaku serta ucapan yang buruk 
175,175,175,salut sama gus miftah
176,176,176,semoga dengan kejadian ini gusmiptah ambil hikmah ny agar menjadi org yg lebih baik dn lebih br adab
177,177,177,tidak pantas di panggil gus
178,178,178,selama jdi gus tak pernah sy melihat iblis ini mengaji
179,179,179,ya harus mundur bahasa dakwah harus berbobot
180,180,180,aku doakan selanjutnya  rizik sbahar semit mundur juga dari indonesia karna hinaan dia lbih tdk  punya ahlak mnghina presiden dll ayuh donk para netizen seindonesia gugat tuh yg ngaku ccu nabi
181,181,181,baguslah kalo mundur dengan tau diriperbaiki mulut banyak banyak intropeksi diri sapa diri lo tuhan menciptakan wujud si penjual es teh sadar gak lo sapa yg ciptakan diri lo ada di muka bumi ini
182,182,182,ra kuat pangkat termakan omongan nya sendiri
183,183,183,mundur saja kami tdk tahansebelum masyarakat marah
184,184,184,sehat selalu gus semoga ini jadi pelajaran yang sangat berharga pada hakikatnya orang yang engkau singgung sekarang  naik derajat nya semoga allah swt mengampuni  memaafkan semua kesalahan yang gus perbuat karna hanya allah lah yang tahu baik buruk nya ucapan gus sesungguhnya nya salam persahabatan dan persaudaraan 
185,185,185,ini baru namanya takdir gak bisa jadi pemimpin yg baik jadi gelandangan aja kau miftah itu lebih baik untuk mu hahaha takdir
186,186,186,yaallah semoga selalu sehat gus miptahini pembelajaran kedepan nya tida terulang lagi terus berdawah jangan putus asa
187,187,187,bagus di ganti sudah berbuat nangis pulaaabanyak yang lebih baik dan sosial tinggi tidak menghina orang kecil aamiin
188,188,188,tetap  semangat gus
189,189,189,taim gak kuat drajatpribadi yg buruk jadi staf keagamaanorang gituitu kok di beri gelar  gus
190,190,190,indonesia gak butuh orang kayak gini  masih bnyk orang yg berilmu yg rendah hati
191,191,191,lebih baik mundur dari pada banyak masarakat yg akan lebih membenci  dia
192,192,192,bagus deh kalo dia mundur dr merah putih kabinet presiden prabowomenjaga nama baik bpk presiden kalo sampai dya gak mundur netizen bakal berbondongbondong demo ke istanalebih baik mempertanggung jawabkan perbuatan nya  sendirimulutmu harimaumutidak semudah itu kata maaf masalah selesai begitu saja bila ada 1 banding 1 kita anggap masalah itu selesailebih baik mundur dr pada di pecat itu lebih baik
193,193,193,mungkin ini teguran dari allah atas kesombonganya yang di perbuat
194,194,194,saran saya copot semua gelar anda  gak usah jadi pendakwa  jadilah rakyat biasa kalau bisa anda sekalian jualan es teh panggul apakah anda gak malu sama allah 
195,195,195,baguslah kalau sudah sadar guslebih baik mundur dari jabatannya daripada dipecat bapak preseden
196,196,196,semudah dan secepat itu allah turunkan pangkat dan derajat seseorang 
197,197,197,  
198,198,198,              
199,199,199,semoga kedepannya lebih baik lagi kami tau segala nya hanya karena humor semata yg dia ucapkan
200,200,200,saya bisa menilaigus mitfah asli kesatriatanggung jawab mengakui semua kesalahannya
201,201,201,mantap   itu nama nya sadar diri  kalo di atas itu kenceng angin nya 
202,202,202,alkhamdulillah  kt gus  miftah  cuman hamba alloh swt sangat2 pertanggung jawab  atas kekeliruankesalahan ya jg  buat contoh yg terbaik  alloh  swt maha kasih dn sayang smg  gus miftah  jg bpk sunhaji  di sini  jg  derajat beliu yg melalui acara ini  smg  kt semua ya  sukses senantiasa sllu dlm perlindungan keberkahan kebahagiaan yg tanpa batas dn yg terbaikamiiin ya robbal alamin
203,203,203,lebih cocok jd pelawak daripada jd pendakwah
204,204,204,bar ngusep sirahe bojone pindo  sakiki ngusep atine bakol es tehpiye to gus sampean ki
205,205,205,gus miftah mau trus brdakwah  masa si msh ada yg mau dengerin apa ga mundur jg pasti di pecat bpk presiden prabowo sangat prduli sm rakyat miskin
206,206,206,gk usah nangis air mata palsu itu  inget pas kemaren ngolok sama se gerombolan mu yg ilmu nya tinggi kemaren  gk bisa ngajeni wong cilik
207,207,207,kok mewek kemarin menhina orang miskin ketawa ketawa sdan sombong kok sekarang menagis
208,208,208,ustd reman ko mewek juga
209,209,209,kenapa lu jabrib mengundurkan diri  malu yah
210,210,210,sudah berbulan bulan menjilat baru kemaren jadi pejabat udah modyar
211,211,211,potong dulu rambut
212,212,212,pejabat yang lain contohlah kalau anda yang berbuat salah akuilah dan mundurlah masih banyak anak bangsa yang lebih baik 
213,213,213,bgus mundur aj gak pantes crmah kyak gthu
214,214,214,msih mau bela diri boos
215,215,215,kocak lu gus masa nangis skg coba ulangi ekspresi muka ketawa waktu hina pedagang es
216,216,216,sabar lek sampean wong pinter cuma cara ngomongmu sing kurang bener alias saru
217,217,217,inilah cermin buat kita semuajangn sampai lisan menyakitkan oranglain
218,218,218,pak presiden pak prabowo perna bilang  sya hormat pada petani  pedagang kaki lima  pedagang asongan ojol  dll  hlaaa mala gus miftah menggoblok kan pedagang asongan
219,219,219,semangat gus stiap orang pasti pernah melakukan ksalahan tidak ada manusia yang sempurna karna kesempurnaan milik alloh semoga kedepan nya akan lebih baik gus semangat semoga semakin mendekatkan diti kpda alloh yg maha benar dan maha membolak balikan hati manusia amin
220,220,220,kemarin  ketawa    gus   mana ketawa mu   
221,221,221,kok cengeng se x sih
222,222,222,lebih baik mundur    dari pada di copot secara tak terhormat       mita  harus di    proses sesuai  uud  hukum  di indonesia    jang    hanya mundur dan meminta maf  terus   udah kelar     tangkap dulu gusmita     beri hukuman
223,223,223,td layak lgi d undang orang sombong yg kya gini bagi orang yg mau mengundang lbih goblok lgi
224,224,224,berdakwah lah anda di rumah andakarna gk ada yg mau mendengar karakter dakwahan anda paham sampean
225,225,225,gus mihta tak psntas di sebut pendakwa        hapus  juga dari  pendakwahan
226,226,226,kepada seluruh rakyat indonesia saya ucapkan terima kasih sudah mendukungsiapa yg dukunggw sih kagak 
227,227,227,terima kasih sudah memilih  mengundurkan diri kata beliau sebagai langkah awal bukan langkah mundur mari kita hargai pilihan beliau tuhan memberkati 
228,228,228,se orang ustad ucapan katanya jangan kotor n seenaknya perutnya sendiriustad itu beri tausia yg baik karena ustad itu orang yg ber ilmu n pendakwahberi wejangan yg baikbukan malah mulut nya menghina
229,229,229,ini sebagai contoh untuk seluruh pejabat di nkri budaya mundur apabila melakukan sedikit kekilavan walaupun itu tdk disengaja budaya mundur fenomena ini akan menjadi dimulainya fenomena baru  untuk seluruh pejabat baik dari pusat sampai daerah bupati gubernur dsb hormat untuk gus miftah
230,230,230,mudah2han yang di panggung yang ikut ketawa akan d miskin kan hartanya oleh alloh subhanahuwataala amin2 kunfayakun
231,231,231,mau nagis mintak di kasihaniini yg mau di cantohinati2 pak prabowo cari org utk jd pemimpinsy dukung pak prabowo sdh 3 priode
232,232,232,mana ktawa mu yg kmarin yg waktu merendahkan orang lain tukok mewek sih andabetapa bahagia rakyat indonesia gk ada  pereman pasar berkedok penceramahjujur ini lah pidio yg paling lucu yg saya tontonsatu kata untuk anda maaaaammpuuuuuss
